ds,time,y
4/8/2568,23:00,3.6
4/8/2568,22:00,3.64
4/8/2568,21:00,3.66
4/8/2568,19:00,4.07
4/8/2568,18:00,3.8
4/8/2568,17:00,3.39
4/8/2568,16:00,2.91
4/8/2568,15:00,2.27
4/8/2568,14:00,1.63
4/8/2568,13:00,1.19
4/8/2568,12:00,1.17
4/8/2568,11:00,1.26
4/8/2568,10:00,1.4
4/8/2568,9:00,1.61
4/8/2568,8:00,1.93
4/8/2568,7:00,2.39
4/8/2568,6:00,2.58
4/8/2568,5:00,2.85
4/8/2568,4:00,2.95
4/8/2568,3:00,3.05
4/8/2568,2:00,2.99
4/8/2568,1:00,3.07
4/8/2568,0:00,3.1
3/8/2568,23:00,3.61
3/8/2568,22:00,3.79
3/8/2568,21:00,3.99
3/8/2568,20:00,4.2
3/8/2568,19:00,4.2
3/8/2568,18:00,4.09
3/8/2568,17:00,3.77
3/8/2568,16:00,3.35
3/8/2568,15:00,2.79
3/8/2568,14:00,2.15
3/8/2568,13:00,1.57
3/8/2568,12:00,1.2
3/8/2568,11:00,1.17
3/8/2568,10:00,1.27
3/8/2568,9:00,1.45
3/8/2568,8:00,1.67
3/8/2568,7:00,1.98
3/8/2568,6:00,2.41
3/8/2568,5:00,2.63
3/8/2568,4:00,2.8
3/8/2568,3:00,2.96
3/8/2568,2:00,3
3/8/2568,1:00,3.06
3/8/2568,0:00,3.17
2/8/2568,23:00,3.4
2/8/2568,22:00,3.51
2/8/2568,21:00,3.68
2/8/2568,20:00,3.94
2/8/2568,19:00,4.05
2/8/2568,18:00,3.99
2/8/2568,17:00,3.77
2/8/2568,16:00,3.44
2/8/2568,15:00,3.07
2/8/2568,14:00,2.53
2/8/2568,13:00,1.89
2/8/2568,12:00,1.46
2/8/2568,11:00,1.26
2/8/2568,10:00,1.18
2/8/2568,9:00,1.27
2/8/2568,8:00,1.44
2/8/2568,7:00,1.63
2/8/2568,6:00,1.91
2/8/2568,5:00,2.19
2/8/2568,4:00,2.43
2/8/2568,3:00,2.71
2/8/2568,2:00,3.04
2/8/2568,1:00,3.1
2/8/2568,0:00,3.27
1/8/2568,23:00,3.36
1/8/2568,22:00,3.57
1/8/2568,21:00,3.69
1/8/2568,20:00,3.8
1/8/2568,19:00,3.89
1/8/2568,18:00,3.91
1/8/2568,17:00,3.88
1/8/2568,16:00,3.64
1/8/2568,15:00,3.39
1/8/2568,14:00,3.04
1/8/2568,13:00,2.63
1/8/2568,12:00,2.22
1/8/2568,11:00,1.79
1/8/2568,10:00,1.5
