Station,Date and time, DO , EC , Temp 
สถานีวัดแหลมใต้-บางปะกง,5 ม.ค.2566 18:30, 7.8 ," 1,930 ", 23.9 
สถานีวัดแหลมใต้-บางปะกง,5 ม.ค.2566 19:00, 7.9 ," 2,251 ", 23.8 
สถานีวัดแหลมใต้-บางปะกง,5 ม.ค.2566 19:30, 8.0 ," 1,845 ", 23.7 
สถานีวัดแหลมใต้-บางปะกง,5 ม.ค.2566 20:00, 8.0 ," 1,786 ", 23.6 
สถานีวัดแหลมใต้-บางปะกง,5 ม.ค.2566 20:30, 8.1 ," 1,350 ", 23.7 
สถานีวัดแหลมใต้-บางปะกง,5 ม.ค.2566 21:00, 8.1 ," 1,277 ", 23.6 
สถานีวัดแหลมใต้-บางปะกง,5 ม.ค.2566 21:30, 8.1 , 986 , 23.2 
สถานีวัดแหลมใต้-บางปะกง,5 ม.ค.2566 22:00, 8.2 ," 1,047 ", 23.1 
สถานีวัดแหลมใต้-บางปะกง,5 ม.ค.2566 22:30, 8.2 , 782 , 23.3 
สถานีวัดแหลมใต้-บางปะกง,5 ม.ค.2566 23:00, 8.2 , 666 , 23.1 
สถานีวัดแหลมใต้-บางปะกง,5 ม.ค.2566 23:30, 8.2 , 792 , 23.2 
สถานีวัดแหลมใต้-บางปะกง,6 ม.ค.2566 00:00, 8.3 , 751 , 22.8 
สถานีวัดแหลมใต้-บางปะกง,6 ม.ค.2566 00:30, 8.3 , 727 , 22.6 
สถานีวัดแหลมใต้-บางปะกง,6 ม.ค.2566 01:00, 8.4 , 692 , 22.6 
สถานีวัดแหลมใต้-บางปะกง,6 ม.ค.2566 01:30, 8.4 , 665 , 22.4 
สถานีวัดแหลมใต้-บางปะกง,6 ม.ค.2566 02:00, 8.4 , 644 , 22.4 
สถานีวัดแหลมใต้-บางปะกง,6 ม.ค.2566 02:30, 8.5 , 468 , 22.0 
สถานีวัดแหลมใต้-บางปะกง,6 ม.ค.2566 03:00, 8.5 , 443 , 22.1 
สถานีวัดแหลมใต้-บางปะกง,6 ม.ค.2566 03:30, 8.4 , 449 , 21.8 
สถานีวัดแหลมใต้-บางปะกง,6 ม.ค.2566 04:00, 8.4 , 559 , 22.0 
สถานีวัดแหลมใต้-บางปะกง,6 ม.ค.2566 04:30, 8.4 , 572 , 22.0 
สถานีวัดแหลมใต้-บางปะกง,6 ม.ค.2566 05:00, 8.3 , 582 , 21.8 
สถานีวัดแหลมใต้-บางปะกง,6 ม.ค.2566 05:30, 8.3 , 634 , 21.6 
สถานีวัดแหลมใต้-บางปะกง,6 ม.ค.2566 06:00, 8.2 , 535 , 21.1 
สถานีวัดแหลมใต้-บางปะกง,6 ม.ค.2566 06:30, 8.2 , 594 , 20.9 
สถานีวัดแหลมใต้-บางปะกง,6 ม.ค.2566 07:00, 8.3 , 584 , 20.6 
สถานีวัดแหลมใต้-บางปะกง,6 ม.ค.2566 07:30, 8.1 , 687 , 21.5 
สถานีวัดแหลมใต้-บางปะกง,6 ม.ค.2566 08:00, 8.1 , 929 , 21.5 
สถานีวัดแหลมใต้-บางปะกง,6 ม.ค.2566 08:30, 7.9 ," 1,105 ", 22.4 
สถานีวัดแหลมใต้-บางปะกง,6 ม.ค.2566 09:00, 7.7 ," 1,135 ", 23.7 
สถานีวัดแหลมใต้-บางปะกง,6 ม.ค.2566 09:30, 7.5 ," 1,285 ", 24.1 
สถานีวัดแหลมใต้-บางปะกง,6 ม.ค.2566 10:00, 7.5 ," 1,514 ", 24.2 
สถานีวัดแหลมใต้-บางปะกง,6 ม.ค.2566 10:30, 7.6 ," 2,371 ", 24.4 
สถานีวัดแหลมใต้-บางปะกง,6 ม.ค.2566 11:00, 7.5 ," 2,173 ", 24.5 
สถานีวัดแหลมใต้-บางปะกง,6 ม.ค.2566 11:30, 7.5 ," 2,749 ", 24.4 
สถานีวัดแหลมใต้-บางปะกง,6 ม.ค.2566 12:00, 7.6 ," 2,809 ", 24.6 
สถานีวัดแหลมใต้-บางปะกง,6 ม.ค.2566 12:30, 7.6 ," 2,785 ", 24.9 
